User,Date & Time,File name,Star ID,Line,Model_Type,Orig_Trough_Wavelength,Orig_Trough_Flux,Fit_Trough_Wavelength,Fit_Trough_Flux,Fit_Center,Amplitude,Stddev,S/N
Abdullah,2025-07-08 10:10:29.786957,stacked_M3_TARG101.fits,TARG101.,Blue,Gaussian,8493.49376646313,-0.27838435319619637,8493.778047399586,-0.310810186728082,8493.799718596838,-0.3108738125194466,1.0710781382760424,6.833232046343706
Abdullah,2025-07-08 10:10:29.786957,stacked_M3_TARG101.fits,TARG101.,Center,Gaussian,8538.012857482321,-0.5035328908761836,8537.95600129503,-0.5070380679437357,8537.997545995584,-0.5071574965084856,1.9142223524482702,12.35973590763663
Abdullah,2025-07-08 10:10:29.786957,stacked_M3_TARG101.fits,TARG101.,Red,Gaussian,8657.66913089151,-0.4267157364607278,8658.180836577129,-0.44188504925518657,8658.14064233121,-0.4419944881721148,1.8061114056657772,10.474179355215432
Abdullah,2025-07-08 10:10:41.605975,stacked_M3_TARG102.fits,TARG102.,Blue,Gaussian,8494.64069304021,-0.3243712716582875,8494.015274980009,-0.34035321895461657,8494.060437287264,-0.3405326430143156,1.3910506361309272,10.63888342863183
Abdullah,2025-07-08 10:10:41.605975,stacked_M3_TARG102.fits,TARG102.,Center,Gaussian,8538.029245822547,-0.5287185725805134,8537.972389635255,-0.5116059365707534,8538.015605821607,-0.5117211984468623,2.0360144031462033,17.341163511429556
Abdullah,2025-07-08 10:10:41.605975,stacked_M3_TARG102.fits,TARG102.,Red,Gaussian,8658.476834435338,-0.4807488642763762,8658.192553498882,-0.4916158419405999,8658.164776984448,-0.4916759312869223,1.776602275386905,15.767830176007623
Abdullah,2025-07-08 10:10:56.896538,stacked_M3_TARG106.fits,TARG106.,Blue,Gaussian,8493.357181030055,-0.2841424589878525,8494.21002383942,-0.31632877974734663,8494.163718279338,-0.316575261449953,1.1732207260377967,8.765052499391855
Abdullah,2025-07-08 10:10:56.896538,stacked_M3_TARG106.fits,TARG106.,Center,Gaussian,8537.938205274468,-0.499873322945415,8538.222486210923,-0.5007104260281132,8538.168794503703,-0.5008873252730255,2.0200443117379696,15.419786026590742
Abdullah,2025-07-08 10:10:56.896538,stacked_M3_TARG106.fits,TARG106.,Red,Gaussian,8657.744868296844,-0.42447577186395447,8658.256573982462,-0.4306104489406848,8658.27753693702,-0.4306386262286061,1.8324717433651336,13.093968561968769
Abdullah,2025-07-08 10:11:09.229713,stacked_M3_TARG107.fits,TARG107.,Blue,Gaussian,8494.053357307046,-0.27850206939770417,8494.223925868919,-0.3291779655361359,8494.19289262938,-0.32929322965112445,1.1727851183222018,6.908938413972665
Abdullah,2025-07-08 10:11:09.229713,stacked_M3_TARG107.fits,TARG107.,Center,Gaussian,8538.762923398874,-0.43369414774126647,8538.137505338673,-0.43034339830891105,8538.124024593088,-0.4303546165145276,1.867014193622326,10.758864965437391
Abdullah,2025-07-08 10:11:09.229713,stacked_M3_TARG107.fits,TARG107.,Red,Gaussian,8656.881776526732,-0.39970858231979567,8657.734619336097,-0.4229580406525654,8657.725370774064,-0.422964645077367,1.6549773497718279,9.915768255352706
